5;5629ORT;Version N;HADP;2028-03-26;2028-08-04;1
6;9838SDR;Version J;ABCN;2028-05-30;2028-09-03;1
7;7557UNN;Version M;ABCN;2022-01-09;2025-12-27;1
8;7457LLG;Version B;ABCN;2021-09-20;2025-10-29;1
9;4357KQG;Version E;ABCN;2025-11-20;2026-01-09;1
10;6372BGX;Version L;HADP;2021-09-04;2028-04-05;1
11;8259TMD;Version G;HADP;2024-12-15;2026-12-24;1
12;8681KSX;Version P;ABCN;2021-11-23;2028-06-17;1
13;5995KWB;Version Q;HADP;2026-02-14;2026-03-04;1
14;9572EWY;Version D;ABCN;2026-01-15;2028-03-23;1
15;2315WYJ;Version C;UDKA;2021-04-23;2027-11-05;1
16;8483DZM;Version K;ABCN;2021-05-13;2027-07-26;1
17;7778UYT;Version V;HADP;2026-10-26;2026-12-27;1
18;6364ESL;Version I;UDKA;2028-04-10;2028-06-03;1
19;9838KFP;Version R;HADP;2026-11-21;2027-07-12;1
20;6917RIB;Version S;ABCN;2027-04-08;2027-11-13;1
21;4541HDC;Version D;UDKA;2028-10-09;2028-10-16;1
22;2755KHZ;Version N;HADP;2025-10-10;2025-10-12;1
23;3338JTC;Version H;ABCN;2027-09-28;2028-04-28;1
24;6136FOR;Version W;UDKA;2023-02-26;2027-02-14;1
25;3277QBC;Version V;ABCN;2021-08-30;2023-06-04;1
26;7279FIJ;Version V;HADP;2024-09-02;2024-11-15;1
27;5331CIC;Version S;HADP;2027-12-15;2027-12-26;1
28;3619LTU;Version H;HADP;2022-10-29;2025-08-12;1
29;6188QFT;Version T;ABCN;2024-12-01;2026-06-03;1
30;8867OPQ;Version Z;UDKA;2023-06-06;2028-01-16;1
31;2557APJ;Version T;UDKA;2025-02-23;2027-09-19;1
32;5774XWQ;Version Q;UDKA;2027-09-29;2028-06-16;1
33;7722RJP;Version F;HADP;2022-07-14;2026-03-19;1
34;1173DLU;Version R;UDKA;2024-02-09;2027-02-14;1
35;9779RAH;Version U;UDKA;2023-06-04;2028-07-31;1
36;6592LTN;Version T;ABCN;2026-01-08;2027-09-16;1
37;2837NKR;Version O;UDKA;2023-11-07;2027-02-06;1
38;3564SMH;Version E;ABCN;2026-10-25;2028-03-16;1
39;6112CRM;Version V;UDKA;2025-11-17;2026-12-04;1
40;5312GOH;Version J;UDKA;2024-04-14;2027-10-28;1
